日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
107/06/04,"11,327,334","5,380,816,640",472.50,485.00,458.00,458.00,-10.00,"9,113"
107/06/05,"9,740,672","4,563,489,372",466.00,477.50,456.00,477.50,+19.50,"7,885"
107/06/06,"9,425,027","4,516,632,244",488.00,490.00,468.00,470.50,-7.00,"7,396"
107/06/07,"5,189,658","2,453,379,102",474.00,478.00,468.00,469.00,-1.50,"4,113"
107/06/08,"6,871,868","3,240,293,706",472.00,482.00,456.00,458.50,-10.50,"5,616"
107/06/11,"13,519,570","6,522,017,160",466.50,496.50,458.50,488.00,+29.50,"10,486"
107/06/12,"10,430,111","5,250,319,110",498.00,512.00,493.00,512.00,+24.00,"7,939"
107/06/13,"12,774,270","6,825,783,580",525.00,554.00,515.00,554.00,+42.00,"10,310"
107/06/14,"7,271,770","3,916,914,100",549.00,552.00,521.00,530.00,-24.00,"5,982"
107/06/15,"10,787,088","5,952,762,840",535.00,580.00,532.00,555.00,+25.00,"8,735"
107/06/19,"6,590,251","3,539,889,281",554.00,554.00,528.00,530.00,-25.00,"5,435"
107/06/20,"13,134,796","6,916,582,860",538.00,546.00,499.00,531.00,+1.00,"10,670"
107/06/21,"6,869,508","3,647,495,144",533.00,543.00,518.00,518.00,-13.00,"5,427"
107/06/22,"6,236,771","3,116,044,790",510.00,512.00,490.00,490.00,-28.00,"5,288"
107/06/25,"5,134,064","2,497,265,244",492.00,499.00,478.50,480.50,-9.50,"4,314"
107/06/26,"7,557,295","3,570,053,550",470.00,487.00,460.00,487.00,+6.50,"6,211"
107/06/27,"7,716,984","3,745,330,560",490.00,502.00,464.50,464.50,-22.50,"6,496"
107/06/28,"12,321,266","5,780,198,390",459.00,486.50,453.00,453.50,-11.00,"10,282"
107/06/29,"8,282,660","3,855,164,740",463.00,478.50,453.00,478.50,+25.00,"6,768"
107/07/02,"6,723,665","3,227,589,542",485.00,490.50,470.00,471.50,-7.00,"5,658"
107/07/03,"4,862,575","2,271,018,075",477.50,481.00,455.00,459.00,-12.50,"4,100"
107/07/04,"4,737,921","2,214,278,513",462.00,476.50,458.50,474.50,+15.50,"4,018"
107/07/05,"8,263,175","3,743,705,975",476.50,478.50,427.50,427.50,-47.00,"6,544"
107/07/06,"10,310,512","4,512,020,520",433.00,464.50,415.00,460.00,+32.50,"8,480"
107/07/09,"4,175,393","1,927,231,813",472.00,472.00,441.00,441.00,-19.00,"3,380"
107/07/10,"5,774,027","2,732,804,541",456.00,484.50,453.00,483.00,+42.00,"4,655"
107/07/11,"5,955,286","2,869,915,854",465.00,500.00,465.00,468.00,-15.00,"5,177"
107/07/12,"6,792,675","3,284,719,280",470.00,495.00,470.00,493.00,X0.00,"5,864"
107/07/13,"9,291,796","4,787,043,940",501.00,531.00,501.00,515.00,+22.00,"7,927"
107/07/16,"8,044,768","4,088,974,268",518.00,526.00,491.00,496.00,-19.00,"6,676"
107/07/17,"6,294,281","3,122,630,106",502.00,507.00,483.00,491.50,-4.50,"5,407"
107/07/18,"5,788,139","2,810,045,720",500.00,501.00,470.00,480.00,-11.50,"4,875"
107/07/19,"5,908,709","2,880,523,505",485.00,495.00,481.00,486.00,+6.00,"5,098"
107/07/20,"8,072,156","4,019,903,376",490.00,507.00,489.00,498.00,+12.00,"6,584"
107/07/23,"8,780,718","4,141,778,743",498.00,498.00,452.50,472.50,-25.50,"7,211"
107/07/24,"6,591,245","3,122,284,590",466.50,482.50,458.00,482.50,+10.00,"5,604"
107/07/25,"3,758,426","1,803,921,832",475.50,485.50,474.00,481.00,-1.50,"3,200"
107/07/26,"5,483,935","2,675,691,190",485.00,498.00,475.50,475.50,-5.50,"4,798"
107/07/27,"4,133,270","1,990,109,220",480.00,488.00,474.00,488.00,+12.50,"3,530"
107/07/30,"7,036,161","3,367,341,941",488.00,495.50,461.00,476.50,-11.50,"5,825"
107/07/31,"4,310,166","2,048,043,178",473.00,484.00,465.00,483.50,+7.00,"3,780"
107/08/01,"6,417,365","3,081,075,089",490.00,494.00,469.00,471.50,-12.00,"5,395"
107/08/02,"8,627,873","3,898,379,112",471.50,474.00,440.00,441.50,-30.00,"7,204"
107/08/03,"6,965,962","3,077,994,179",451.00,452.50,433.00,439.50,-2.00,"5,757"
107/08/06,"7,413,478","3,158,314,606",440.00,441.50,416.00,426.50,-13.00,"6,238"
107/08/07,"4,364,236","1,882,778,340",429.00,440.00,425.00,440.00,+13.50,"3,858"
107/08/08,"8,154,331","3,518,551,999",450.00,450.50,414.50,414.50,-25.50,"6,834"
107/08/09,"8,709,842","3,571,519,456",408.00,421.00,397.00,412.00,-2.50,"7,542"
107/08/10,"4,127,833","1,685,276,030",405.50,414.00,403.50,403.50,-8.50,"3,501"
107/08/13,"8,110,884","3,073,915,000",391.50,395.00,363.50,371.50,-32.00,"6,468"
107/08/14,"8,498,150","3,134,842,650",378.00,382.00,355.50,375.00,+3.50,"7,138"
107/08/15,"6,874,890","2,528,882,710",371.00,379.50,359.00,379.00,+4.00,"5,573"
107/08/16,"7,940,105","3,030,694,395",372.00,390.00,368.00,384.00,+5.00,"6,714"
107/08/17,"6,713,152","2,610,516,564",388.50,397.00,381.50,381.50,-2.50,"5,346"
107/08/20,"6,183,629","2,313,693,504",384.00,385.00,363.00,376.00,-5.50,"5,122"
107/08/21,"7,015,361","2,706,200,039",371.50,395.00,368.50,395.00,+19.00,"5,933"
107/08/22,"3,814,380","1,484,050,200",391.50,394.50,385.00,387.00,-8.00,"3,173"
107/08/23,"3,942,440","1,540,569,060",388.00,395.50,386.00,388.00,+1.00,"3,337"
107/08/24,"3,613,200","1,389,817,600",383.00,393.00,378.00,393.00,+5.00,"3,123"
107/08/27,"4,518,010","1,808,454,270",397.00,408.00,393.00,405.00,+12.00,"3,820"
107/08/28,"4,840,580","2,007,985,460",410.00,421.00,410.00,412.50,+7.50,"4,153"
107/08/29,"3,965,416","1,626,624,265",414.00,416.00,406.50,410.50,-2.00,"3,189"
107/08/30,"3,341,710","1,363,029,560",418.00,418.00,400.00,400.00,-10.50,"2,802"
107/08/31,"4,089,420","1,615,035,367",395.50,401.50,388.50,398.50,-1.50,"3,387"
107/09/03,"5,505,739","2,086,202,430",394.50,394.50,366.00,366.00,-32.50,"4,662"
107/09/04,"4,268,605","1,604,664,925",369.50,383.50,369.00,383.50,+17.50,"3,605"
107/09/05,"2,904,886","1,095,864,750",380.50,382.00,374.00,374.00,-9.50,"2,462"
